Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
NON TESLA,HYUNDAI, SONATA PHEV,HYUNDAI SONATA PHEV,4/1/2017,Reset,280,1,1,0,,280,,280,0,Hybrid,1,APR,280,2017,4
NON TESLA,VOLVO, XC90 T8 PHEV,VOLVO XC90 T8 PHEV,4/1/2017,Reset,145,1,1,0,,145,,145,0,Hybrid,1,APR,145,2017,4
NON TESLA,KIA, SOUL EV,KIA SOUL EV,4/1/2017,Reset,167,1,1,0,,167,,167,0,Fully Electric,1,APR,167,2017,4
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,4/1/2017,Reset,125,1,1,0,,125,,125,0,Fully Electric,1,APR,125,2017,4
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,4/1/2017,Reset,185,1,1,0,,185,,185,0,Hybrid,1,APR,185,2017,4
NON TESLA,KIA, OPTIMA PHEV,KIA OPTIMA PHEV,4/1/2017,Reset,86,1,1,0,,86,,86,0,Hybrid,1,APR,86,2017,4
NON TESLA,MERCEDES, C350E,MERCEDES C350E,4/1/2017,Reset,3,1,1,0,,3,,3,0,Hybrid,1,APR,3,2017,4
NON TESLA,MERCEDES, B250E,MERCEDES B250E,4/1/2017,Reset,66,1,1,0,,66,,66,0,Fully Electric,1,APR,66,2017,4
NON TESLA,BMW, 740E,BMW 740E,4/1/2017,Reset,123,1,1,0,,123,,123,0,Hybrid,1,APR,123,2017,4
NON TESLA,MERCEDES, S550E,MERCEDES S550E,4/1/2017,Reset,81,1,1,0,,81,,81,0,Hybrid,1,APR,81,2017,4
NON TESLA,SMART, ED,SMART ED,4/1/2017,Reset,3,1,1,0,,3,,3,0,Fully Electric,1,APR,3,2017,4
NON TESLA,BMW, I8,BMW I8,4/1/2017,Reset,23,1,1,0,,23,,23,0,Hybrid,1,APR,23,2017,4
NON TESLA,MERCEDES, GLE 550E,MERCEDES GLE 550E,4/1/2017,Reset,36,1,1,0,,36,,36,0,Hybrid,1,APR,36,2017,4
NON TESLA,HYUNDAI, IONIQ EV,HYUNDAI IONIQ EV,4/1/2017,Reset,19,1,1,0,,19,,19,0,Fully Electric,1,APR,19,2017,4
NON TESLA,CADILLAC, CT6 PHEV,CADILLAC CT6 PHEV,4/1/2017,Reset,8,1,1,0,,8,,8,0,Hybrid,1,APR,8,2017,4
