id,CAR.MAKE,CAR.MAKE.AND.MODEL,CAR.MODEL,Car.Type1,Month,Sales,Sales.Non.Tesla,Sales.Tesla,Year,Year.Month,Year.Month..copy.
846,HONDA,HONDA FIT EV, FIT EV,Fully Electric,NOV,23,23,,2013,11/1/2013,11
847,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,NOV,12,12,,2013,11/1/2013,11
848,NISSAN,NISSAN LEAF, LEAF,Fully Electric,NOV,2003,2003,,2013,11/1/2013,11
849,TESLA,TESLA MODEL S, MODEL S,Fully Electric,NOV,1200,,1200,2013,11/1/2013,11
850,SMART,SMART ED, ED,Fully Electric,NOV,153,153,,2013,11/1/2013,11
851,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,OCT,66,66,,2013,10/1/2013,10
852,FIAT,FIAT 500E, 500E,Fully Electric,OCT,400,400,,2013,10/1/2013,10
853,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,OCT,115,115,,2013,10/1/2013,10
854,HONDA,HONDA FIT EV, FIT EV,Fully Electric,OCT,40,40,,2013,10/1/2013,10
855,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,OCT,28,28,,2013,10/1/2013,10
856,NISSAN,NISSAN LEAF, LEAF,Fully Electric,OCT,2002,2002,,2013,10/1/2013,10
857,TESLA,TESLA MODEL S, MODEL S,Fully Electric,OCT,800,,800,2013,10/1/2013,10
858,SMART,SMART ED, ED,Fully Electric,OCT,111,111,,2013,10/1/2013,10
859,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,SEP,78,78,,2013,9/1/2013,9
860,FIAT,FIAT 500E, 500E,Fully Electric,SEP,450,450,,2013,9/1/2013,9
861,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,SEP,110,110,,2013,9/1/2013,9
862,HONDA,HONDA FIT EV, FIT EV,Fully Electric,SEP,35,35,,2013,9/1/2013,9
863,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,SEP,20,20,,2013,9/1/2013,9
864,NISSAN,NISSAN LEAF, LEAF,Fully Electric,SEP,1953,1953,,2013,9/1/2013,9
865,TESLA,TESLA MODEL S, MODEL S,Fully Electric,SEP,1500,,1500,2013,9/1/2013,9
866,SMART,SMART ED, ED,Fully Electric,SEP,137,137,,2013,9/1/2013,9
867,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JAN,30,30,,2014,1/1/2014,1
868,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JAN,1,1,,2014,1/1/2014,1
869,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JUL,363,363,,2014,7/1/2014,7
870,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUL,128,128,,2014,7/1/2014,7
871,FIAT,FIAT 500E, 500E,Fully Electric,JUL,528,528,,2014,7/1/2014,7
872,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUL,198,198,,2014,7/1/2014,7
873,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JUL,42,42,,2014,7/1/2014,7
874,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUL,17,17,,2014,7/1/2014,7
875,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUL,3019,3019,,2014,7/1/2014,7
876,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUL,800,,800,2014,7/1/2014,7
877,SMART,SMART ED, ED,Fully Electric,JUL,298,298,,2014,7/1/2014,7
878,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JUN,358,358,,2014,6/1/2014,6
879,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUN,85,85,,2014,6/1/2014,6
880,FIAT,FIAT 500E, 500E,Fully Electric,JUN,636,636,,2014,6/1/2014,6
881,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUN,197,197,,2014,6/1/2014,6
882,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JUN,38,38,,2014,6/1/2014,6
883,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUN,22,22,,2014,6/1/2014,6
884,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUN,2347,2347,,2014,6/1/2014,6
885,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUN,1500,,1500,2014,6/1/2014,6
886,SMART,SMART ED, ED,Fully Electric,JUN,278,278,,2014,6/1/2014,6
887,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAR,108,108,,2014,3/1/2014,3
888,FIAT,FIAT 500E, 500E,Fully Electric,MAR,644,644,,2014,3/1/2014,3
889,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAR,177,177,,2014,3/1/2014,3
890,HONDA,HONDA FIT EV, FIT EV,Fully Electric,MAR,37,37,,2014,3/1/2014,3
891,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAR,24,24,,2014,3/1/2014,3
892,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAR,2507,2507,,2014,3/1/2014,3
893,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAR,1300,,1300,2014,3/1/2014,3
894,SMART,SMART ED, ED,Fully Electric,MAR,186,186,,2014,3/1/2014,3
895,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,MAY,336,336,,2014,5/1/2014,5
896,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAY,182,182,,2014,5/1/2014,5
897,FIAT,FIAT 500E, 500E,Fully Electric,MAY,476,476,,2014,5/1/2014,5
898,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAY,177,177,,2014,5/1/2014,5
899,HONDA,HONDA FIT EV, FIT EV,Fully Electric,MAY,33,33,,2014,5/1/2014,5
900,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAY,35,35,,2014,5/1/2014,5
901,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAY,3117,3117,,2014,5/1/2014,5
902,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAY,1000,,1000,2014,5/1/2014,5
903,SMART,SMART ED, ED,Fully Electric,MAY,208,208,,2014,5/1/2014,5
904,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,NOV,816,816,,2014,11/1/2014,11
905,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,NOV,61,61,,2014,11/1/2014,11
906,FIAT,FIAT 500E, 500E,Fully Electric,NOV,211,211,,2014,11/1/2014,11
907,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,NOV,191,191,,2014,11/1/2014,11
908,HONDA,HONDA FIT EV, FIT EV,Fully Electric,NOV,5,5,,2014,11/1/2014,11
909,KIA,KIA SOUL EV, SOUL EV,Fully Electric,NOV,140,140,,2014,11/1/2014,11
910,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,NOV,18,18,,2014,11/1/2014,11
911,NISSAN,NISSAN LEAF, LEAF,Fully Electric,NOV,2687,2687,,2014,11/1/2014,11
912,TESLA,TESLA MODEL S, MODEL S,Fully Electric,NOV,1200,,1200,2014,11/1/2014,11
913,VW,VW E-GOLF, E-GOLF,Fully Electric,NOV,119,119,,2014,11/1/2014,11
914,SMART,SMART ED, ED,Fully Electric,NOV,313,313,,2014,11/1/2014,11
915,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,OCT,1159,1159,,2014,10/1/2014,10
916,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,OCT,58,58,,2014,10/1/2014,10
917,FIAT,FIAT 500E, 500E,Fully Electric,OCT,217,217,,2014,10/1/2014,10
918,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,OCT,186,186,,2014,10/1/2014,10
919,HONDA,HONDA FIT EV, FIT EV,Fully Electric,OCT,23,23,,2014,10/1/2014,10
920,KIA,KIA SOUL EV, SOUL EV,Fully Electric,OCT,109,109,,2014,10/1/2014,10
921,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,OCT,17,17,,2014,10/1/2014,10
922,NISSAN,NISSAN LEAF, LEAF,Fully Electric,OCT,2589,2589,,2014,10/1/2014,10
923,TESLA,TESLA MODEL S, MODEL S,Fully Electric,OCT,1300,,1300,2014,10/1/2014,10
924,VW,VW E-GOLF, E-GOLF,Fully Electric,OCT,1,1,,2014,10/1/2014,10
925,SMART,SMART ED, ED,Fully Electric,OCT,150,150,,2014,10/1/2014,10
926,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,SEP,1022,1022,,2014,9/1/2014,9
927,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,SEP,51,51,,2014,9/1/2014,9
928,FIAT,FIAT 500E, 500E,Fully Electric,SEP,518,518,,2014,9/1/2014,9
929,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,SEP,176,176,,2014,9/1/2014,9
930,HONDA,HONDA FIT EV, FIT EV,Fully Electric,SEP,29,29,,2014,9/1/2014,9
931,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,SEP,15,15,,2014,9/1/2014,9
932,NISSAN,NISSAN LEAF, LEAF,Fully Electric,SEP,2881,2881,,2014,9/1/2014,9
933,TESLA,TESLA MODEL S, MODEL S,Fully Electric,SEP,2500,,2500,2014,9/1/2014,9
934,SMART,SMART ED, ED,Fully Electric,SEP,182,182,,2014,9/1/2014,9
935,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JAN,670,670,,2015,1/1/2015,1
936,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JAN,86,86,,2015,1/1/2015,1
937,FIAT,FIAT 500E, 500E,Fully Electric,JAN,259,259,,2015,1/1/2015,1
938,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JAN,85,85,,2015,1/1/2015,1
939,KIA,KIA SOUL EV, SOUL EV,Fully Electric,JAN,69,69,,2015,1/1/2015,1
940,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JAN,3,3,,2015,1/1/2015,1
941,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JAN,1070,1070,,2015,1/1/2015,1
942,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JAN,1100,,1100,2015,1/1/2015,1
943,VW,VW E-GOLF, E-GOLF,Fully Electric,JAN,181,181,,2015,1/1/2015,1
944,SMART,SMART ED, ED,Fully Electric,JAN,147,147,,2015,1/1/2015,1
945,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JUL,935,935,,2015,7/1/2015,7
946,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUL,57,57,,2015,7/1/2015,7
947,FIAT,FIAT 500E, 500E,Fully Electric,JUL,485,485,,2015,7/1/2015,7
948,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUL,135,135,,2015,7/1/2015,7
949,KIA,KIA SOUL EV, SOUL EV,Fully Electric,JUL,59,59,,2015,7/1/2015,7
950,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,JUL,10,10,,2015,7/1/2015,7
951,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUL,12,12,,2015,7/1/2015,7
952,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUL,1174,1174,,2015,7/1/2015,7
953,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUL,1600,,1600,2015,7/1/2015,7
954,VW,VW E-GOLF, E-GOLF,Fully Electric,JUL,313,313,,2015,7/1/2015,7
955,SMART,SMART ED, ED,Fully Electric,JUL,109,109,,2015,7/1/2015,7
956,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JUN,551,551,,2015,6/1/2015,6
957,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUN,226,226,,2015,6/1/2015,6
958,FIAT,FIAT 500E, 500E,Fully Electric,JUN,363,363,,2015,6/1/2015,6
959,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUN,152,152,,2015,6/1/2015,6
960,KIA,KIA SOUL EV, SOUL EV,Fully Electric,JUN,109,109,,2015,6/1/2015,6
961,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUN,23,23,,2015,6/1/2015,6
962,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUN,2074,2074,,2015,6/1/2015,6
963,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUN,2800,,2800,2015,6/1/2015,6
964,VW,VW E-GOLF, E-GOLF,Fully Electric,JUN,293,293,,2015,6/1/2015,6
965,SMART,SMART ED, ED,Fully Electric,JUN,94,94,,2015,6/1/2015,6
966,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,MAR,922,922,,2015,3/1/2015,3
967,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAR,151,151,,2015,3/1/2015,3
968,FIAT,FIAT 500E, 500E,Fully Electric,MAR,131,131,,2015,3/1/2015,3
969,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAR,140,140,,2015,3/1/2015,3
970,KIA,KIA SOUL EV, SOUL EV,Fully Electric,MAR,63,63,,2015,3/1/2015,3
971,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAR,10,10,,2015,3/1/2015,3
972,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAR,1817,1817,,2015,3/1/2015,3
973,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAR,2450,,2450,2015,3/1/2015,3
974,VW,VW E-GOLF, E-GOLF,Fully Electric,MAR,195,195,,2015,3/1/2015,3
975,SMART,SMART ED, ED,Fully Electric,MAR,103,103,,2015,3/1/2015,3
976,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,MAY,818,818,,2015,5/1/2015,5
977,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAY,283,283,,2015,5/1/2015,5
978,FIAT,FIAT 500E, 500E,Fully Electric,MAY,420,420,,2015,5/1/2015,5
979,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAY,165,165,,2015,5/1/2015,5
980,KIA,KIA SOUL EV, SOUL EV,Fully Electric,MAY,108,108,,2015,5/1/2015,5
981,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAY,18,18,,2015,5/1/2015,5
982,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAY,2104,2104,,2015,5/1/2015,5
983,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAY,2400,,2400,2015,5/1/2015,5
984,VW,VW E-GOLF, E-GOLF,Fully Electric,MAY,410,410,,2015,5/1/2015,5
985,SMART,SMART ED, ED,Fully Electric,MAY,102,102,,2015,5/1/2015,5
986,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,NOV,723,723,,2015,11/1/2015,11
987,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,NOV,166,166,,2015,11/1/2015,11
988,FIAT,FIAT 500E, 500E,Fully Electric,NOV,390,390,,2015,11/1/2015,11
989,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,NOV,93,93,,2015,11/1/2015,11
990,KIA,KIA SOUL EV, SOUL EV,Fully Electric,NOV,83,83,,2015,11/1/2015,11
991,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,NOV,21,21,,2015,11/1/2015,11
992,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,NOV,4,4,,2015,11/1/2015,11
993,NISSAN,NISSAN LEAF, LEAF,Fully Electric,NOV,1054,1054,,2015,11/1/2015,11
994,TESLA,TESLA MODEL S, MODEL S,Fully Electric,NOV,2702,,2702,2015,11/1/2015,11
995,TESLA,TESLA MODEL X, MODEL X,Fully Electric,NOV,5,,5,2015,11/1/2015,11
996,VW,VW E-GOLF, E-GOLF,Fully Electric,NOV,472,472,,2015,11/1/2015,11
997,SMART,SMART ED, ED,Fully Electric,NOV,178,178,,2015,11/1/2015,11
998,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,OCT,986,986,,2015,10/1/2015,10
999,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,OCT,177,177,,2015,10/1/2015,10
1000,FIAT,FIAT 500E, 500E,Fully Electric,OCT,425,425,,2015,10/1/2015,10
1001,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,OCT,126,126,,2015,10/1/2015,10
1002,KIA,KIA SOUL EV, SOUL EV,Fully Electric,OCT,109,109,,2015,10/1/2015,10
1003,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,OCT,25,25,,2015,10/1/2015,10
1004,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,OCT,9,9,,2015,10/1/2015,10
1005,NISSAN,NISSAN LEAF, LEAF,Fully Electric,OCT,1238,1238,,2015,10/1/2015,10
1006,TESLA,TESLA MODEL S, MODEL S,Fully Electric,OCT,1900,,1900,2015,10/1/2015,10
1007,TESLA,TESLA MODEL X, MODEL X,Fully Electric,OCT,4,,4,2015,10/1/2015,10
1008,VW,VW E-GOLF, E-GOLF,Fully Electric,OCT,596,596,,2015,10/1/2015,10
1009,SMART,SMART ED, ED,Fully Electric,OCT,75,75,,2015,10/1/2015,10
1010,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,SEP,1710,1710,,2015,9/1/2015,9
1011,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,SEP,157,157,,2015,9/1/2015,9
1012,FIAT,FIAT 500E, 500E,Fully Electric,SEP,635,635,,2015,9/1/2015,9
1013,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,SEP,145,145,,2015,9/1/2015,9
1014,KIA,KIA SOUL EV, SOUL EV,Fully Electric,SEP,105,105,,2015,9/1/2015,9
1015,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,SEP,17,17,,2015,9/1/2015,9
1016,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,SEP,3,3,,2015,9/1/2015,9
1017,NISSAN,NISSAN LEAF, LEAF,Fully Electric,SEP,1247,1247,,2015,9/1/2015,9
1018,TESLA,TESLA MODEL S, MODEL S,Fully Electric,SEP,2500,,2500,2015,9/1/2015,9
1019,TESLA,TESLA MODEL X, MODEL X,Fully Electric,SEP,6,,6,2015,9/1/2015,9
1020,VW,VW E-GOLF, E-GOLF,Fully Electric,SEP,343,343,,2015,9/1/2015,9
1021,SMART,SMART ED, ED,Fully Electric,SEP,94,94,,2015,9/1/2015,9
1022,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JAN,182,182,,2016,1/1/2016,1
1023,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JAN,139,139,,2016,1/1/2016,1
1024,FIAT,FIAT 500E, 500E,Fully Electric,JAN,305,305,,2016,1/1/2016,1
1025,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JAN,66,66,,2016,1/1/2016,1
1026,KIA,KIA SOUL EV, SOUL EV,Fully Electric,JAN,81,81,,2016,1/1/2016,1
1027,MERCEDES,MERCEDES B250E, B250E,Fully Electric,JAN,58,58,,2016,1/1/2016,1
1028,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,JAN,19,19,,2016,1/1/2016,1
1029,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JAN,2,2,,2016,1/1/2016,1
1030,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JAN,755,755,,2016,1/1/2016,1
1031,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JAN,850,,850,2016,1/1/2016,1
1032,TESLA,TESLA MODEL X, MODEL X,Fully Electric,JAN,270,,270,2016,1/1/2016,1
1033,VW,VW E-GOLF, E-GOLF,Fully Electric,JAN,328,328,,2016,1/1/2016,1
1034,SMART,SMART ED, ED,Fully Electric,JAN,48,48,,2016,1/1/2016,1
1035,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JUL,1479,1479,,2016,7/1/2016,7
1036,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUL,333,333,,2016,7/1/2016,7
1037,FIAT,FIAT 500E, 500E,Fully Electric,JUL,225,225,,2016,7/1/2016,7
1038,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUL,58,58,,2016,7/1/2016,7
1039,KIA,KIA SOUL EV, SOUL EV,Fully Electric,JUL,179,179,,2016,7/1/2016,7
1040,MERCEDES,MERCEDES B250E, B250E,Fully Electric,JUL,50,50,,2016,7/1/2016,7
1041,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,JUL,32,32,,2016,7/1/2016,7
1042,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUL,20,20,,2016,7/1/2016,7
1043,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUL,1063,1063,,2016,7/1/2016,7
1044,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUL,1954,,1954,2016,7/1/2016,7
1045,TESLA,TESLA MODEL X, MODEL X,Fully Electric,JUL,750,,750,2016,7/1/2016,7
1046,VW,VW E-GOLF, E-GOLF,Fully Electric,JUL,344,344,,2016,7/1/2016,7
1047,SMART,SMART ED, ED,Fully Electric,JUL,62,62,,2016,7/1/2016,7
1048,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,JUN,608,608,,2016,6/1/2016,6
1049,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUN,359,359,,2016,6/1/2016,6
1050,FIAT,FIAT 500E, 500E,Fully Electric,JUN,280,280,,2016,6/1/2016,6
1051,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUN,54,54,,2016,6/1/2016,6
1052,KIA,KIA SOUL EV, SOUL EV,Fully Electric,JUN,134,134,,2016,6/1/2016,6
1053,MERCEDES,MERCEDES B250E, B250E,Fully Electric,JUN,44,44,,2016,6/1/2016,6
1054,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,JUN,27,27,,2016,6/1/2016,6
1055,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUN,4,4,,2016,6/1/2016,6
1056,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUN,1096,1096,,2016,6/1/2016,6
1057,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUN,3700,,3700,2016,6/1/2016,6
1058,TESLA,TESLA MODEL X, MODEL X,Fully Electric,JUN,2145,,2145,2016,6/1/2016,6
1059,VW,VW E-GOLF, E-GOLF,Fully Electric,JUN,248,248,,2016,6/1/2016,6
1060,SMART,SMART ED, ED,Fully Electric,JUN,53,53,,2016,6/1/2016,6
1061,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,MAR,332,332,,2016,3/1/2016,3
1062,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAR,252,252,,2016,3/1/2016,3
1063,FIAT,FIAT 500E, 500E,Fully Electric,MAR,455,455,,2016,3/1/2016,3
1064,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAR,110,110,,2016,3/1/2016,3
1065,KIA,KIA SOUL EV, SOUL EV,Fully Electric,MAR,79,79,,2016,3/1/2016,3
1066,MERCEDES,MERCEDES B250E, B250E,Fully Electric,MAR,66,66,,2016,3/1/2016,3
1067,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,MAR,12,12,,2016,3/1/2016,3
1068,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAR,1,1,,2016,3/1/2016,3
1069,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAR,1246,1246,,2016,3/1/2016,3
1070,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAR,3990,,3990,2016,3/1/2016,3
1071,TESLA,TESLA MODEL X, MODEL X,Fully Electric,MAR,1860,,1860,2016,3/1/2016,3
1072,VW,VW E-GOLF, E-GOLF,Fully Electric,MAR,86,86,,2016,3/1/2016,3
1073,SMART,SMART ED, ED,Fully Electric,MAR,70,70,,2016,3/1/2016,3
1074,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,MAY,696,696,,2016,5/1/2016,5
1075,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAY,394,394,,2016,5/1/2016,5
1076,FIAT,FIAT 500E, 500E,Fully Electric,MAY,425,425,,2016,5/1/2016,5
1077,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAY,54,54,,2016,5/1/2016,5
1078,KIA,KIA SOUL EV, SOUL EV,Fully Electric,MAY,120,120,,2016,5/1/2016,5
1079,MERCEDES,MERCEDES B250E, B250E,Fully Electric,MAY,49,49,,2016,5/1/2016,5
1080,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,MAY,27,27,,2016,5/1/2016,5
1081,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAY,2,2,,2016,5/1/2016,5
1082,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAY,979,979,,2016,5/1/2016,5
1083,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAY,1200,,1200,2016,5/1/2016,5
1084,TESLA,TESLA MODEL X, MODEL X,Fully Electric,MAY,1600,,1600,2016,5/1/2016,5
1085,VW,VW E-GOLF, E-GOLF,Fully Electric,MAY,269,269,,2016,5/1/2016,5
1086,SMART,SMART ED, ED,Fully Electric,MAY,75,75,,2016,5/1/2016,5
1087,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,NOV,629,629,,2016,11/1/2016,11
1088,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,NOV,39,39,,2016,11/1/2016,11
1089,FIAT,FIAT 500E, 500E,Fully Electric,NOV,590,590,,2016,11/1/2016,11
1090,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,NOV,66,66,,2016,11/1/2016,11
1091,KIA,KIA SOUL EV, SOUL EV,Fully Electric,NOV,179,179,,2016,11/1/2016,11
1092,MERCEDES,MERCEDES B250E, B250E,Fully Electric,NOV,52,52,,2016,11/1/2016,11
1093,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,NOV,52,52,,2016,11/1/2016,11
1094,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,NOV,5,5,,2016,11/1/2016,11
1095,NISSAN,NISSAN LEAF, LEAF,Fully Electric,NOV,1457,1457,,2016,11/1/2016,11
1096,TESLA,TESLA MODEL S, MODEL S,Fully Electric,NOV,1100,,1100,2016,11/1/2016,11
1097,TESLA,TESLA MODEL X, MODEL X,Fully Electric,NOV,900,,900,2016,11/1/2016,11
1098,VW,VW E-GOLF, E-GOLF,Fully Electric,NOV,305,305,,2016,11/1/2016,11
1099,SMART,SMART ED, ED,Fully Electric,NOV,47,47,,2016,11/1/2016,11
1100,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,OCT,442,442,,2016,10/1/2016,10
1101,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,OCT,260,260,,2016,10/1/2016,10
